type,size,cores,blockSize,time,energy,L1_DCM,L2_DCM,FP_INS,TOT_INS
Parallel,1024,16,64,44.460137,2.157359,14293416,295894,134217742,105383772,0
Parallel,2048,16,64,202.188064,7.531990,95256812,7526740,1073741826,688264614,0
Parallel,3072,16,64,774.648895,27.175383,331524844,41460268,3623878658,2321469976,0
Parallel,4096,16,64,3481.400173,121.023694,877175437,578219148,8589934594,5567174700,0
Parallel,5120,16,64,3735.982985,121.246629,1544408615,183841411,16777216002,10720924483,0
Parallel,6144,16,64,9714.743174,326.435237,2937309153,1413505972,28991029250,18328204446,0
Parallel,7168,16,64,9608.767644,286.719990,4113136734,372389254,46036680706,28452072401,0
Parallel,8192,16,64,30625.129621,930.512136,6609507709,5371839766,68719476738,43103532328,0
Sequential,1024,16,64,135.504975,1.988056,191094479,1097337,2147483650,1414124120,0
Sequential,2048,16,64,1091.892635,16.132543,1530242267,6882894,17179869186,11308837975,0
Sequential,3072,16,64,3679.733342,54.286743,5143177679,25377386,57982058498,38163024520,0
Sequential,4096,16,64,9011.287249,121.641017,12202981241,58245420,137438953474,90455452029,0
Sequential,5120,16,64,17291.859269,235.702807,23818033151,112526675,268435456002,176664914413,0
Sequential,6144,16,64,30612.261564,350.628825,41071791649,197648778,463856467970,305270207496,0
Sequential,7168,16,64,48430.211767,527.722266,65341893715,314436883,736586891266,484750124487,0
Sequential,8192,16,64,73438.013547,739.463407,97506759599,475105839,1099511627778,723583461791,0
Sequential,1024,16,128,117.052303,1.474152,167420750,2403892,2147483650,1276995962,0
Sequential,2048,16,128,977.704106,10.272402,1345965014,17866870,17179869186,10211828182,0
Sequential,3072,16,128,3308.262705,34.099677,4524860106,70629207,57982058498,34460633403,0
Sequential,4096,16,128,7898.288558,80.942790,10738281382,152237948,137438953474,81679433469,0
Sequential,5120,16,128,15260.046654,164.053192,20946261847,287718394,268435456002,159524276494,0
Sequential,6144,16,128,26657.792277,277.002261,36217056945,506341494,463856467970,275651211368,0
Sequential,7168,16,128,41376.450127,499.611599,57417396307,850348867,736586891266,437716284989,0
Sequential,8192,16,128,64475.226185,620.032038,85664011223,1408423549,1099511627778,653375550054,0
Sequential,1024,16,32,155.159238,1.696202,196537244,2925255,2147483650,1694817405,0
Sequential,2048,16,32,1312.589887,14.477156,1571477832,28753621,17179869186,13554324311,0
